note_id,type,title,desc,video_url,time,last_update_time,creator_hash,nickname,liked_count,collected_count,comment_count,share_count,image_list,tag_list,last_modify_ts,note_url,source_keyword,xsec_token
demo_001,normal,所有想转行但迷茫的医学生请码好这篇,转行信息差盘点，医学生找路必看,,1700000000000,1700000000000,,示例博主_0,315,248,52,30,,小红书医学生#转行#职业规划#临床医学#医学生找工作,1700000000000,https://example.com/note/demo_001,搜索:医学生转行,
demo_002,normal,学医五年，我决定暂停一下,个人经历向，暂停临床去探索AI方向,,1699000000000,1699000000000,,示例博主_1,120,45,38,12,,小红书医学生#转行#个人成长#AI#职业选择,1699000000000,https://example.com/note/demo_002,搜索:医学生转行,
demo_003,normal,医学生用AI写综述，3小时出了初稿,工具实测，AI辅助学术写作教程,,1698000000000,1698000000000,,示例博主_2,88,156,21,45,,小红书AI工具#综述#论文#医学科研#效率,1698000000000,https://example.com/note/demo_003,搜索:医学生用AI,
demo_004,normal,临床实习第2年，我开始怀疑这条路,真实情绪，实习医学生的迷茫自白,,1697000000000,1697000000000,,示例博主_3,402,89,176,28,,小红书临床#实习#医学生日常#心情#职业选择,1697000000000,https://example.com/note/demo_004,搜索:医学生实习,
demo_005,normal,转AI三个月，我踩过的5个坑,转行避坑清单，AI学习路线建议,,1696000000000,1696000000000,,示例博主_4,66,143,12,33,,小红书转行#AI学习#避坑#自我提升#医学生,1696000000000,https://example.com/note/demo_005,搜索:医学生转AI,
demo_006,normal,口腔医学生的一天：实验课也能摸鱼学AI,日常vlog+AI自学碎片，反差萌,,1695000000000,1695000000000,,示例博主_5,198,52,61,15,,小红书口腔医学生#日常#AI自学#学习vlog#医学生,1695000000000,https://example.com/note/demo_006,搜索:口腔医学生,
demo_007,normal,医学生到底该不该转行？过来人说实话,话题讨论帖，评论区吵起来了,,1694000000000,1694000000000,,示例博主_6,524,178,233,56,,小红书医学生#转行#讨论#职业规划#临床,1694000000000,https://example.com/note/demo_007,搜索:医学生转行,
demo_008,normal,免费好用的AI工具清单（医学生版）,清单收藏帖，纯工具推荐无广告,,1693000000000,1693000000000,,示例博主_7,45,289,8,67,,小红书AI工具#医学生#免费工具#效率#清单,1693000000000,https://example.com/note/demo_008,搜索:医学生AI,
demo_009,normal,规培第3年，工资条让人沉默,行业现实，规培医生收入讨论,,1692000000000,1692000000000,,示例博主_8,610,96,312,44,,小红书规培#医生工资#临床#医学生#现实,1692000000000,https://example.com/note/demo_009,搜索:规培医生,
demo_010,normal,我从临床转去做医疗AI产品了,转行成功案例分享，给后来者参考,,1691000000000,1691000000000,,示例博主_9,156,88,47,19,,小红书医疗AI#产品经理#转行#医学生#AI,1691000000000,https://example.com/note/demo_010,搜索:医疗AI转行,
demo_011,normal,医学遗传学课程论文，AI救了我,学术场景实测，AI写论文避坑,,1690000000000,1690000000000,,示例博主_10,34,97,6,22,,小红书课程论文#AI#医学遗传学#医学生#论文,1690000000000,https://example.com/note/demo_011,搜索:医学生论文,
demo_012,normal,别劝医学生转行了，先听听这个,反向观点帖，制造讨论张力,,1689000000000,1689000000000,,示例博主_11,77,31,89,9,,小红书医学生#转行#观点#讨论#职业,1689000000000,https://example.com/note/demo_012,搜索:医学生转行,
